Date : 2023-04-22 16:55:50
Directory : /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp
Total : 114 files,  51817 codes, 1169 comments, 1249 blanks, all 54235 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     37,099 |         24 |          4 |     37,127 |
| TypeScript JSX     |         75 |     12,786 |        859 |      1,050 |     14,695 |
| TypeScript         |         20 |      1,671 |        266 |        154 |      2,091 |
| JavaScript         |         10 |        205 |         18 |         29 |        252 |
| Markdown           |          1 |         30 |          0 |         10 |         40 |
| JSON with Comments |          2 |         17 |          2 |          1 |         20 |
| XML                |          1 |          9 |          0 |          1 |         10 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        114 |     51,817 |      1,169 |      1,249 |     54,235 |
| . (Files)                                                                                                                      |         13 |     37,778 |        106 |         62 |     37,946 |
| .expo-shared                                                                                                                   |          1 |          4 |          0 |          1 |          5 |
| assets                                                                                                                         |          2 |         47 |          0 |          4 |         51 |
| assets (Files)                                                                                                                 |          1 |          9 |          0 |          1 |         10 |
| assets/SVG                                                                                                                     |          1 |         38 |          0 |          3 |         41 |
| components                                                                                                                     |         57 |      7,664 |        415 |        601 |      8,680 |
| components/Auth                                                                                                                |          3 |        397 |         16 |         38 |        451 |
| components/Currency                                                                                                            |          1 |         89 |          4 |         10 |        103 |
| components/Errors                                                                                                              |          1 |         24 |          4 |          3 |         31 |
| components/ExpensesOutput                                                                                                      |         13 |      2,266 |        101 |        182 |      2,549 |
| components/ExpensesOutput (Files)                                                                                              |          7 |        999 |         71 |         75 |      1,145 |
| components/ExpensesOutput/ExpenseStatistics                                                                                    |          6 |      1,267 |         30 |        107 |      1,404 |
| components/ExpensesOverview                                                                                                    |          2 |        254 |         15 |         14 |        283 |
| components/Hooks                                                                                                               |          1 |         19 |          7 |          7 |         33 |
